timestamp,amount,temperature,humidity,windspeed
1708438871000,331.86,-2.5,43,3.09
1708438871000,333.74,-2.5,43,3.09
1708438871000,331.48,-2.5,43,3.09
1708438871000,329.21,-2.5,43,3.09
1708438871000,325.26,-2.5,43,3.09
1708438871000,327.41,-2.5,43,3.09
1708438871000,329.82,-2.5,43,3.09
1708438871000,331.48,-2.5,43,3.09
1708438871000,334.79,-2.5,43,3.09
1708438871000,337.41,-2.5,43,3.09
1708438871000,338.94,-2.5,43,3.09
1708438871000,350.24,-2.5,43,3.09
1708438871000,347.81,-2.5,43,3.09
1708438871000,346.13,-2.5,43,3.09
1708438871000,341.73,-2.5,43,3.09
1708438871000,344.49,-2.5,43,3.09
1708438871000,340.59,-2.5,43,3.09
1708438871000,343.7,-2.5,43,3.09
1708438871000,340.05,-2.5,43,3.09
1708438871000,343.33,-2.5,43,3.09
1708438871000,346.28,-2.5,43,3.09
1708438871000,349.34,-2.5,43,3.09
1708438871000,352.43,-2.5,43,3.09
1708438871000,349.32,-2.5,43,3.09
1708438871000,346.15,-2.5,43,3.09
1708438871000,343.96,-2.5,43,3.09
1708438871000,339.54,-2.5,43,3.09
1708438871000,336.49,-2.5,43,3.09
1708438871000,339.68,-2.5,43,3.09
1708438871000,341.87,-2.5,43,3.09
1708438871000,343.39,-2.5,43,3.09
1708438871000,338.52,-2.5,43,3.09
1708438871000,335.46,-2.5,43,3.09
1708438871000,344.68,-2.5,43,3.09
1708438872000,340.73,-2.5,43,3.09
1708438872000,342.6,-2.5,43,3.09
1708438872000,344.2,-2.5,43,3.09
1708438872000,345.94,-2.5,43,3.09
1708438872000,343.14,-2.5,43,3.09
1708438872000,335.22,-2.5,43,3.09
1708438872000,328.79,-2.5,43,3.09
1708438872000,331.11,-2.5,43,3.09
1708438872000,332.67,-2.5,43,3.09
1708438872000,328.33,-2.5,43,3.09
1708438872000,330.11,-2.5,43,3.09
1708438872000,332.5,-2.5,43,3.09
1708438872000,334.31,-2.5,43,3.09
1708438872000,337.16,-2.5,43,3.09
1708438872000,327.51,-2.5,43,3.09
1708438872000,339.44,-2.5,43,3.09
1708438872000,334.37,-2.5,43,3.09
1708438872000,344.18,-2.5,43,3.09
1708438872000,337.65,-2.5,43,3.09
1708438872000,340.12,-2.5,43,3.09
1708438872000,341.63,-2.5,43,3.09
1708438872000,345.24,-2.5,43,3.09
1708438872000,347.42,-2.5,43,3.09
1708438872000,348.94,-2.5,43,3.09
1708438872000,352.58,-2.5,43,3.09
1708438872000,350.79,-2.5,43,3.09
1708438872000,348.7,-2.5,43,3.09
1708438872000,344.63,-2.5,43,3.09
1708438872000,342.74,-2.5,43,3.09
1708438872000,340.75,-2.5,43,3.09
1708438872000,344.18,-2.5,43,3.09
1708438872000,347.04,-2.5,43,3.09
1708438872000,349.01,-2.5,43,3.09
1708438872000,350.71,-2.5,43,3.09
1708438872000,348.71,-2.5,43,3.09
1708438872000,346.75,-2.5,43,3.09
1708438872000,342.84,-2.5,43,3.09
1708438872000,340.14,-2.5,43,3.09
1708438872000,329.4,-2.5,43,3.09
1708438872000,321.97,-2.5,43,3.09
1708438872000,328.62,-2.5,43,3.09
1708438872000,333.21,-2.5,43,3.09
1708438872000,326.72,-2.5,43,3.09
1708438872000,322.86,-2.5,43,3.09
1708438872000,327.01,-2.5,43,3.09
1708438872000,332.1,-2.5,43,3.09
1708438872000,334.29,-2.5,43,3.09
1708438872000,337.13,-2.5,43,3.09
1708438872000,335.33,-2.5,43,3.09
1708438872000,336.93,-2.5,43,3.09
1708438872000,339.26,-2.5,43,3.09
1708438872000,346.88,-2.5,43,3.09
1708438872000,352.14,-2.5,43,3.09
1708438872000,354.58,-2.5,43,3.09
1708438872000,356.27,-2.5,43,3.09
1708438872000,353.85,-2.5,43,3.09
1708438872000,348.43,-2.5,43,3.09
1708438872000,344,-2.5,43,3.09
1708438872000,341.62,-2.5,43,3.09
1708438872000,339.97,-2.5,43,3.09
1708438872000,338.16,-2.5,43,3.09
1708438872000,336.57,-2.5,43,3.09
1708438872000,343.82,-2.5,43,3.09
1708438872000,348.83,-2.5,43,3.09
1708438872000,341.21,-2.5,43,3.09
1708438872000,347.03,-2.5,43,3.09
1708438872000,334.16,-2.5,43,3.09
1708438872000,325.26,-2.5,43,3.09
1708438872000,335.05,-2.5,43,3.09
1708438872000,339.87,-2.5,43,3.09
1708438872000,343.21,-2.5,43,3.09
1708438872000,340.49,-2.5,43,3.09
1708438872000,338.51,-2.5,43,3.09
1708438872000,328.78,-2.5,43,3.09
1708438872000,322.06,-2.5,43,3.09
1708438872000,337.38,-2.5,43,3.09
1708438872000,347.97,-2.5,43,3.09
1708438872000,355.97,-2.5,43,3.09
1708438872000,361.49,-2.5,43,3.09
1708438872000,363.43,-2.5,43,3.09
1708438872000,350.42,-2.5,43,3.09
1708438872000,352.2,-2.5,43,3.09
1708438872000,343.53,-2.5,43,3.09
1708438872000,333.96,-2.5,43,3.09
1708438872000,327.34,-2.5,43,3.09
1708438873000,329.88,-2.5,43,3.09
1708438873000,334.08,-2.5,43,3.09
1708438873000,337.33,-2.5,43,3.09
1708438873000,339.57,-2.5,43,3.09
1708438873000,341.12,-2.5,43,3.09
1708438873000,344.58,-2.5,43,3.09
1708438873000,346.97,-2.5,43,3.09
1708438873000,348.96,-2.5,43,3.09
1708438873000,343.34,-2.5,43,3.09
1708438873000,346.46,-2.5,43,3.09
1708438873000,344.92,-2.5,43,3.09
1708438873000,340.72,-2.5,43,3.09
1708438873000,345.5,-2.5,43,3.09
1708438873000,338.22,-2.5,43,3.09
1708438873000,343.77,-2.5,43,3.09
1708438873000,341.46,-2.5,43,3.09
1708438873000,339.87,-2.5,43,3.09
1708438873000,334.33,-2.5,43,3.09
1708438873000,328.19,-2.5,43,3.09
1708438873000,323.53,-2.5,43,3.09
1708438873000,317.07,-2.5,43,3.09
1708438873000,329.15,-2.5,43,3.09
1708438873000,320.95,-2.5,43,3.09
1708438873000,323.99,-2.5,43,3.09
1708438873000,326.09,-2.5,43,3.09
1708438873000,328.54,-2.5,43,3.09
1708438873000,334.66,-2.5,43,3.09
1708438873000,337.55,-2.5,43,3.09
1708438873000,342.46,-2.5,43,3.09
1708438873000,346.18,-2.5,43,3.09
1708438873000,348.42,-2.5,43,3.09
1708438873000,349.96,-2.5,43,3.09
1708438873000,355.47,-2.5,43,3.09
1708438873000,359.27,-2.5,43,3.09
1708438873000,361.56,-2.5,43,3.09
1708438873000,359.04,-2.5,43,3.09
1708438873000,357.3,-2.5,43,3.09
1708438873000,351.5,-2.5,43,3.09
1708438873000,347.89,-2.5,43,3.09
1708438873000,344.99,-2.5,43,3.09
1708438873000,347.27,-2.5,43,3.09
1708438873000,348.88,-2.5,43,3.09
1708438873000,344.31,-2.5,43,3.09
1708438873000,341.2,-2.5,43,3.09
1708438873000,339.13,-2.5,43,3.09
1708438873000,336.89,-2.5,43,3.09
1708438873000,335.34,-2.5,43,3.09
1708438873000,333.25,-2.5,43,3.09
1708438873000,338.63,-2.5,43,3.09
1708438873000,342.34,-2.5,43,3.09
1708438873000,343.91,-2.5,43,3.09
1708438873000,340.9,-2.5,43,3.09
1708438873000,337.09,-2.5,43,3.09
1708438873000,334.52,-2.5,43,3.09
1708438873000,332.38,-2.5,43,3.09
1708438873000,334.11,-2.5,43,3.09
1708438873000,327.96,-2.5,43,3.09
1708438873000,337.7,-2.5,43,3.09
1708438873000,327.37,-2.5,43,3.09
1708438873000,342.59,-2.5,43,3.09
1708438873000,333.48,-2.5,43,3.09
1708438873000,344.42,-2.5,43,3.09
1708438873000,334.74,-2.5,43,3.09
1708438873000,344.95,-2.5,43,3.09
1708438873000,336.13,-2.5,43,3.09
1708438873000,341.82,-2.5,43,3.09
1708438873000,335.67,-2.5,43,3.09
1708438873000,341.5,-2.5,43,3.09
1708438873000,336.48,-2.5,43,3.09
1708438873000,333.01,-2.5,43,3.09
1708438873000,330.61,-2.5,43,3.09
1708438873000,328.29,-2.5,43,3.09
1708438873000,320.91,-2.5,43,3.09
1708438873000,316.11,-2.5,43,3.09
1708438873000,324.91,-2.5,43,3.09
1708438873000,329.96,-2.5,43,3.09
1708438873000,334.48,-2.5,43,3.09
1708438873000,337.6,-2.5,43,3.09
1708438873000,330.65,-2.5,43,3.09
1708438873000,324.37,-2.5,43,3.09
1708438873000,320.04,-2.5,43,3.09
1708438873000,317.04,-2.5,43,3.09
1708438873000,314.97,-2.5,43,3.09
1708438873000,334.02,-2.5,43,3.09
1708438873000,347.18,-2.5,43,3.09
1708438873000,344.18,-2.5,43,3.09
1708438874000,341.72,-2.5,43,3.09
1708438874000,336.63,-2.5,43,3.09
1708438874000,339.36,-2.5,43,3.09
1708438874000,342.19,-2.5,43,3.09
1708438874000,339.8,-2.5,43,3.09
1708438874000,333.94,-2.5,43,3.09
1708438874000,329.89,-2.5,43,3.09
1708438874000,327.43,-2.5,43,3.09
1708438874000,338.66,-2.5,43,3.09
1708438874000,334.18,-2.5,43,3.09
1708438874000,331.08,-2.5,43,3.09
1708438874000,328.94,-2.5,43,3.09
